"Codigo";"Titulo";"Autor";"Editor";"Proveedor";"Tema";"COLECCION";"Cod.Barra";"ISBN";"Ubicacion";"Deposito";"Repos.";"Cant.Propio";"Cant.Terceros";"Cant.Reservados";"Cant.Total";"Ultima Venta";"Dep 1";"Dep 2";"Dep 3";"Dep 4";"Dep 5";"Dep 6";"Dep 7";"Dep 8";"Dep 9";"Dep 10";"Dep 11 Con";"PVP";"Accesorios";"Codigo Prov";""                                                                                                                                                                                              
0008482361767;"1648 LA PAZ DE MUNSTER                            ";"SCHEPPER, HUGO      ";"IDEAS BOOK          ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"VALLARTA            ";09788482361741;"9788482361741";"                   ";"TODOS               ";               0;              9 ;               0;               0;              9 ;"09/05/2014";       9;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1800.00;"NO DEFINIDO ";"             ";" "             
9789504914501;"A ORILLAS DEL RIO PIEDRA ME SENTE Y LLORE         ";"COELHO, PAULO       ";"                    ";"LOSADA S.A.         ";"AUTOAYUDA Y SUPERACI";"VALLARTA            ";09789504914501;"9789504914501";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"09/05/2014";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   700.00;"NO DEFINIDO ";"             ";" "             
9788481629293;"ADORNOS NAVIDEÑOS FACIL DE HACER                  ";"DUDLEY, KERRIE      ";"ANAYA               ";"LOSADA S.A.         ";"MANUALIDADES ARTESAN";"VALLARTA            ";09788481629293;"9788481629293";"                   ";"TODOS               ";               0;              3 ;               0;               0;              3 ;"00/00/0000";       3;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
0008423127087;"ANDREA CHENIER INTRODUCCION AL MUNDO DE LA O      ";"GIORDANO, U         ";"DAIMON              ";"LOSADA S.A.         ";"MUSICA              ";"VALLARTA            ";00008423127087;"8423127087   ";"                   ";"TODOS               ";               0;             12 ;               0;               0;             12 ;"26/11/2009";       1;      11;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
9788484881360;"ANNA EN EL MUSEO                                  ";"LANG, CAROLINE      ";"SERRES              ";"LOSADA S.A.         ";"LITERATURA INFANTIL ";"VALLARTA            ";09788484881360;"9788484881360";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"21/11/2017";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1000.00;"NO DEFINIDO ";"             ";" "             
0008489715491;"ANTICUARIO, EL                                    ";"SCOTT, WALTER       ";"LOSADA              ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"VALLARTA            ";09788489715493;"9788489715493";"                   ";"TODOS               ";               0;             15 ;             12 ;               0;             27 ;"11/01/2002";      27;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
9789877192544;"ANTOLOGIA PERSONAL                                ";"RAON RIBEYRO, JULIO ";"FONDO DE CULTURA ECO";"FONDO DE CULTURA ECO";"LITERATURA LATINOAME";"VALLARTA            ";09789877192544;"9789877192544";"                   ";"TODOS               ";               0;               0;              5 ;               0;              5 ;"00/00/0000";       5;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1100.00;"NO DEFINIDO ";"             ";" "             
9788495040916;"ANTON Y LOS DRAGONES                              ";"HOLM, HALD          ";"SERRES              ";"LOSADA S.A.         ";"LITERATURA INFANTIL ";"VALLARTA            ";09788495040916;"9788495040916";"                   ";"TODOS               ";               0;              5 ;               0;               0;              5 ;"06/09/2019";       5;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
0009681397195;"APRENDA GUITARRA EN UNA SEMANA                    ";"POSADAS AYALA, RAUL ";"DIANA               ";"LOSADA S.A.         ";"MUSICA              ";"VALLARTA            ";07509991440671;"7509991440671";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"09/07/2014";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1750.00;"NO DEFINIDO ";"             ";" "             
9788495040527;"AUGUSTE CON AMOR                                  ";"NORTHEAST           ";"SERRES              ";"LOSADA S.A.         ";"LITERATURA INFANTIL ";"VALLARTA            ";09788495040527;"9788495040527";"                   ";"TODOS               ";               0;              4 ;               0;               0;              4 ;"27/02/2020";       4;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
9788484880509;"BABEL Y EL ANGEL                                  ";"MAGNIER, THIEL      ";"SERRES              ";"LOSADA S.A.         ";"LITERATURA INFANTIL ";"VALLARTA            ";09788484880509;"9788484880509";"                   ";"TODOS               ";               0;              3 ;               0;               0;              3 ;"09/10/2020";       3;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
0008470171399;"BAHIA DE LOS ANGELES, LA                          ";"GALLO, MAX          ";"ARGOS               ";"LOSADA S.A.         ";"LITERATURA UNIVERSAL";"VALLARTA            ";00008470171399;"8470171399   ";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"09/10/2020";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
9788480270182;"BALCON BIOLOGICO, EL                              ";"TRINGALE, M.        ";"IBIS                ";"LOSADA S.A.         ";"ECOLOGIA Y MEDIO AMB";"VALLARTA            ";09788480270182;"9788480270182";"                   ";"TODOS               ";               0;               0;              2 ;               0;              2 ;"00/00/1900";       0;       2;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
0008423127516;"BARBERILLO DE LAVAPIES, EL MUNDO ZARZUELA         ";"BARBIERI, F         ";"DAIMON              ";"LOSADA S.A.         ";"MUSICA              ";"VALLARTA            ";00008423127516;"8423127516   ";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"24/06/2011";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   800.00;"NO DEFINIDO ";"             ";" "             
0000000034012;"BEETHOVEN/L                                       ";"LUDWIG, EMIL        ";"LOSADA              ";"LOSADA S.A.         ";"BIOGRAFIAS Y AUTOBIO";"VALLARTA            ";00009500340127;"9500340127   ";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"04/04/2011";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
9788476148099;"BIBLIA DE INTERNET, LA                            ";"QUE DEVELOPMENT     ";"ANAYA               ";"LOSADA S.A.         ";"TECNICOS            ";"VALLARTA            ";09788476148099;"9788476148099";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"04/04/2011";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1900.00;"NO DEFINIDO ";"             ";" "             
0084950040964;"BUENOS DIAS SEÑOR - TAPIES!                       ";"COMELLA /KIRILOVA   ";"SERRES              ";"LOSADA S.A.         ";"LITERATURA INFANTIL ";"VALLARTA            ";09788495040961;"9788495040961";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"12/12/2020";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
